"treatment","genotype","replicate","age","clutch1","clutches","fecundity","dead","lifespan","death","size_m","size_c1","size_c3"
"T3","Mugg6b",150,10,3,3,7,"0",15,0,1588.03,581.7,608.6
"T3","Mugg6b",218,10,4,3,7,"0",15,0,1545.01,572.9,655.8
"T3","Mugg6b",61,10,3,3,8,"1",18,0,1584.73,601.7,654
"T3","Mugg6b",149,10,3,3,8,"0",15,0,1517.2,554.3,619.3
"T3","Mugg6b",41,13,1,3,2,"1",18,0,1814.54,578.7,576.5
"T3","Mugg6b",38,10,4,3,6,"0",20,0,1542.25,572.2,651
"T3","Mugg6b",37,10,1,3,5,"2",15,0,1502.92,549.4,617.4
"T3","Mugg6b",57,10,4,3,9,"0",18,0,1531.74,579.2,NA
"T3","Mugg6b",177,10,4,3,7,"1",15,0,1582.37,562.6,NA
"T3","Mugg6b",54,10,2,3,5,"0",17,0,1516.16,585.3,NA
"T3","Mugg6b",176,10,1,3,3,"1",16,0,1814.83,554.3,NA
"T3","Mugg6b",216,11,1,3,3,"0",20,0,1573.21,658.9,563.7
"T4","Mugg6b",154,NA,NA,0,NA,NA,24,0,NA,NA,NA
"T4","Mugg6b",46,10,2,2,3,"0",24,0,NA,556.9,NA
"T4","Mugg6b",20,10,2,3,2,"2",20,0,1451.58,515.3,NA
"T4","Mugg6b",135,10,2,3,5,"2",18,0,1653.48,506.9,549.7
"T4","Mugg6b",47,11,0,3,3,"2",21,0,1469.45,NA,NA
"T4","Mugg6b",134,10,0,3,2,"2",21,0,1525.34,NA,589.1
"T4","Mugg6b",131,NA,NA,0,NA,NA,8,1,NA,NA,NA
"T4","Mugg6b",165,10,1,3,2,"1",20,0,1496.35,NA,NA
"T4","Mugg6b",19,NA,NA,0,NA,NA,9,1,NA,NA,NA
"T4","Mugg6b",8,NA,NA,0,NA,NA,7,1,NA,NA,NA
"T4","Mugg6b",127,10,1,3,5,"0",18,0,1528.35,522.5,NA
"T4","Mugg6b",125,NA,NA,0,NA,NA,8,1,NA,NA,NA
"T4","Mugg6b",32,NA,NA,0,NA,NA,24,0,NA,NA,NA
"T4","Mugg6b",16,NA,NA,0,NA,NA,11,1,NA,NA,NA
"T4","Mugg6b",141,NA,NA,0,NA,NA,10,1,NA,NA,NA
"T1","Mugg7a",140,8,2,3,8,"0",13,0,1370.41,529.8,589
"T1","Mugg7a",87,9,1,3,7,"0",14,0,1387.48,NA,578.4
"T1","Mugg7a",75,10,1,3,9,"0",15,0,1427.36,547.4,612.1
"T1","Mugg7a",80,8,2,3,5,"0",13,0,1341.17,542.4,545.8
"T1","Mugg7a",81,14,5,3,19,"0",19,0,1586.29,570,593.2
"T1","Mugg7a",82,10,2,3,12,"0",14,0,1426.95,579.8,570.5
"T1","Mugg7a",79,9,1,3,8,"0",14,0,1521.57,589.1,605.1
"T1","Mugg7a",83,9,1,3,8,"0",14,0,1448.98,578.7,581.1
"T1","Mugg7a",78,10,2,3,9,"0",14,0,1445.14,552.6,556.7
"T1","Mugg7a",84,10,2,3,11,"0",14,0,1402.6,576.6,606.2
"T1","Mugg7a",77,11,3,3,8,"0",16,0,1452.62,565.5,NA
"T1","Mugg7a",184,16,3,3,8,"0",20,0,1377.36,526,525.8
"T1","Mugg7a",212,NA,NA,0,NA,NA,7,1,NA,NA,NA
"T1","Mugg7a",199,NA,NA,0,NA,NA,4,1,NA,NA,NA
"T1","Mugg7a",186,9,2,3,10,"0",14,0,1485.49,571,607
"T2","Mugg7a",172,8,1,3,6,"0",13,0,1574.91,595.1,593.9
"T2","Mugg7a",49,8,1,3,8,"0",13,0,1547.53,614.7,625
"T2","Mugg7a",39,NA,NA,0,NA,NA,0,1,NA,NA,NA
"T2","Mugg7a",34,NA,NA,0,NA,NA,7,1,NA,NA,NA
"T2","Mugg7a",25,11,4,3,10,"0",15,0,1570.27,592.3,613.7
"T2","Mugg7a",72,8,2,3,10,"0",13,0,1538.01,596.4,634.3
"T2","Mugg7a",73,8,3,3,11,"0",12,0,1555.59,585.1,561.6
"T2","Mugg7a",71,10,2,3,11,"0",15,0,1556.22,583.4,622.1
"T2","Mugg7a",213,8,2,3,9,"0",13,0,1568.33,597.6,568
"T2","Mugg7a",167,8,1,3,8,"0",17,0,1718.51,608,582.3
"T2","Mugg7a",162,NA,NA,0,NA,NA,7,1,NA,NA,NA
"T2","Mugg7a",202,10,3,3,12,"0",15,0,1596.41,643.8,655.3
"T2","Mugg7a",44,10,4,3,14,"0",14,0,1644.02,NA,606
"T2","Mugg7a",35,7,1,3,9,"0",12,0,1571.25,625.4,623
"T2","Mugg7a",29,12,3,3,11,"0",17,0,1799.57,579.9,591.4
"T3","Mugg7a",40,11,3,3,7,"0",15,0,1583.13,610.2,611.1
"T3","Mugg7a",160,10,2,3,6,"0",15,0,1433.94,556.5,614.5
"T3","Mugg7a",169,10,2,3,5,"0",15,0,1437.16,601.2,610.2
"T3","Mugg7a",161,10,2,3,9,"0",15,0,1526.91,565.9,584
"T3","Mugg7a",159,10,3,3,7,"0",18,0,1404.15,563.1,571.4
"T3","Mugg7a",31,10,2,3,5,"0",16,0,1421.79,581.3,615.5
